Vendedor,Departamento,Faturamento Realizado,Objetivo de Faturamento,Margem Realizada,Objetivo de Margem,Data
Camila Lima,Vestuário,910.83,2585.96,0.26,0.17,2020-01-11
Thiago Barbosa,Acessórios,1260.17,1104.16,0.78,0.54,2020-01-11
Letícia Ribeiro,Acessórios,408.39,901.34,0.5,0.54,2020-01-11
Enzo Nascimento,Casa,4146.09,4756.24,0.19,0.29,2020-01-11
Guilherme Santos,Casa,980.58,1877.57,0.23,0.28,2020-01-11
Vitória Ribeiro,Brinquedo,1108.98,1145.51,0.16,0.28,2020-01-11
Julia Araújo,Esportes,4191.89,5162.84,0.36,0.33,2020-01-11
Lucas Rodrigues,Esportes,2372.93,2113.57,0.27,0.29,2020-01-11
Thiago Carvalho,Esportes,2679.07,3300.73,0.42,0.31,2020-01-11
Mateus Barbosa,Eletrônicos,3885.58,3263.58,0.24,0.24,2020-01-11
Camila Carvalho,Casa,3565.04,5582.63,0.31,0.26,2020-01-11
Diego Cardoso,Vestuário,530.61,1521.56,0.13,0.21,2020-01-11
Jorge Santos,Brinquedo,393.56,4183.98,0.35,0.22,2020-01-11
Raphael Silva,Papelaria,226.13,838.09,0.67,0.41,2020-01-11
Caroline Reis,Papelaria,181.15,608.25,0.18,0.45,2020-01-11
Letícia Nascimento,Eletrônicos,576.31,1595.58,0.1,0.22,2020-01-12
Ana Sousa,Eletrônicos,551.81,1923.4,0.22,0.23,2020-01-12
Gustavo Martins,Eletrônicos,1616.88,4776.08,0.19,0.21,2020-01-12
Beatriz Santos,Vestuário,2111.58,2109.65,0.1,0.18,2020-01-12
Camila Lima,Vestuário,2138.15,1625.23,0.08,0.15,2020-01-12
Thiago Barbosa,Acessórios,545.45,1612.43,0.32,0.46,2020-01-12
Letícia Ribeiro,Acessórios,655.35,1366.73,0.48,0.5,2020-01-12
Enzo Nascimento,Casa,3486.61,4916.52,0.28,0.32,2020-01-12
Guilherme Santos,Casa,545.65,3400.18,0.41,0.26,2020-01-12
Vitória Ribeiro,Brinquedo,425.73,3482.72,0.31,0.22,2020-01-12
Julia Araújo,Esportes,3149.34,4697.58,0.17,0.27,2020-01-12
Lucas Rodrigues,Esportes,2502.05,3838.46,0.14,0.3,2020-01-12
Thiago Carvalho,Esportes,2234.2,1642.45,0.38,0.31,2020-01-12
Mateus Barbosa,Eletrônicos,3456.36,1392.97,0.18,0.19,2020-01-12
Camila Carvalho,Casa,115.86,2216.07,0.12,0.23,2020-01-12
Diego Cardoso,Vestuário,1369.13,1982.73,0.21,0.19,2020-01-12
Jorge Santos,Brinquedo,2151.53,4172.86,0.33,0.22,2020-01-12
Raphael Silva,Papelaria,301.45,349.49,0.22,0.38,2020-01-12
Caroline Reis,Papelaria,32.12,242.26,0.31,0.49,2020-01-12
Letícia Nascimento,Eletrônicos,2137.12,3468.64,0.14,0.16,2020-01-13
Ana Sousa,Eletrônicos,519.18,4430.58,0.16,0.19,2020-01-13
Gustavo Martins,Eletrônicos,2324.72,4713.86,0.14,0.22,2020-01-13
Beatriz Santos,Vestuário,2218.18,1404.77,0.1,0.17,2020-01-13
Camila Lima,Vestuário,2516.8,1066.22,0.26,0.14,2020-01-13
Thiago Barbosa,Acessórios,644.07,1467.85,0.64,0.56,2020-01-13
Letícia Ribeiro,Acessórios,917.17,946.03,0.76,0.46,2020-01-13
Enzo Nascimento,Casa,3369.96,1633.41,0.22,0.31,2020-01-13
Guilherme Santos,Casa,3585.64,2680.87,0.15,0.29,2020-01-13
Vitória Ribeiro,Brinquedo,1205.56,1602.28,0.11,0.29,2020-01-13
Julia Araújo,Esportes,1528.11,4724.93,0.25,0.29,2020-01-13
Lucas Rodrigues,Esportes,2382.78,2271.73,0.29,0.31,2020-01-13
Thiago Carvalho,Esportes,2212.38,2879.93,0.34,0.39,2020-01-13
Mateus Barbosa,Eletrônicos,2480.18,4362.45,0.14,0.22,2020-01-13
Camila Carvalho,Casa,217.18,3459.81,0.31,0.23,2020-01-13
Diego Cardoso,Vestuário,1393.57,3483.61,0.14,0.17,2020-01-13
Jorge Santos,Brinquedo,2089.43,2096.23,0.15,0.24,2020-01-13
Raphael Silva,Papelaria,36.29,530.04,0.59,0.43,2020-01-13
Caroline Reis,Papelaria,480.64,477.8,0.68,0.45,2020-01-13
Letícia Nascimento,Eletrônicos,3525.71,2559.02,0.1,0.22,2020-01-14
Ana Sousa,Eletrônicos,3661.69,3939.52,0.12,0.18,2020-01-14
Gustavo Martins,Eletrônicos,1736.53,4836.82,0.19,0.22,2020-01-14
Beatriz Santos,Vestuário,275.76,2534.68,0.22,0.15,2020-01-14
Camila Lima,Vestuário,1812.29,1585.99,0.25,0.2,2020-01-14
Thiago Barbosa,Acessórios,595.32,1110.0,0.72,0.48,2020-01-14
Letícia Ribeiro,Acessórios,1147.62,422.94,0.38,0.48,2020-01-14
Enzo Nascimento,Casa,1282.46,2646.59,0.22,0.23,2020-01-14
Guilherme Santos,Casa,4228.35,3675.88,0.25,0.28,2020-01-14
Vitória Ribeiro,Brinquedo,706.24,1610.74,0.3,0.3,2020-01-14
Julia Araújo,Esportes,2795.89,2478.31,0.51,0.27,2020-01-14
Lucas Rodrigues,Esportes,931.98,3313.1,0.25,0.3,2020-01-14
Thiago Carvalho,Esportes,458.73,4252.43,0.16,0.31,2020-01-14
Mateus Barbosa,Eletrônicos,1942.74,3726.54,0.14,0.17,2020-01-14
Camila Carvalho,Casa,959.45,1954.86,0.29,0.25,2020-01-14
Diego Cardoso,Vestuário,100.69,3156.51,0.1,0.17,2020-01-14
Jorge Santos,Brinquedo,3142.58,3214.81,0.32,0.29,2020-01-14
Raphael Silva,Papelaria,276.65,514.63,0.36,0.4,2020-01-14
Caroline Reis,Papelaria,235.93,290.72,0.63,0.41,2020-01-14
Letícia Nascimento,Eletrônicos,2394.9,1807.99,0.19,0.22,2020-01-15
Ana Sousa,Eletrônicos,3179.15,4470.44,0.1,0.17,2020-01-15
Gustavo Martins,Eletrônicos,2705.98,1356.08,0.16,0.22,2020-01-15
Beatriz Santos,Vestuário,2692.06,3060.34,0.16,0.19,2020-01-15
Camila Lima,Vestuário,273.62,1224.44,0.08,0.15,2020-01-15
Thiago Barbosa,Acessórios,1113.73,782.82,0.78,0.4,2020-01-15
Letícia Ribeiro,Acessórios,269.66,488.58,0.46,0.5,2020-01-15
Enzo Nascimento,Casa,2217.34,1960.04,0.37,0.26,2020-01-15
Guilherme Santos,Casa,1708.96,3781.8,0.31,0.28,2020-01-15
Vitória Ribeiro,Brinquedo,2385.24,3538.93,0.34,0.22,2020-01-15
Julia Araújo,Esportes,3622.11,4642.67,0.39,0.35,2020-01-15
Lucas Rodrigues,Esportes,962.5,3883.11,0.39,0.33,2020-01-15
Thiago Carvalho,Esportes,1770.23,2853.57,0.21,0.27,2020-01-15
Mateus Barbosa,Eletrônicos,1009.21,4917.89,0.21,0.19,2020-01-15
Camila Carvalho,Casa,1907.8,5099.75,0.12,0.31,2020-01-15
Diego Cardoso,Vestuário,1009.79,3115.75,0.26,0.21,2020-01-15
Jorge Santos,Brinquedo,2674.37,3744.57,0.21,0.2,2020-01-15
Raphael Silva,Papelaria,42.9,465.66,0.29,0.47,2020-01-15
Caroline Reis,Papelaria,12.75,406.25,0.59,0.38,2020-01-15
Letícia Nascimento,Eletrônicos,2352.33,3286.67,0.32,0.21,2020-01-16
Ana Sousa,Eletrônicos,3603.64,2723.7,0.26,0.2,2020-01-16
Gustavo Martins,Eletrônicos,811.6,1951.66,0.18,0.22,2020-01-16
Beatriz Santos,Vestuário,263.79,1694.78,0.1,0.17,2020-01-16
Camila Lima,Vestuário,382.16,3124.48,0.1,0.18,2020-01-16
Thiago Barbosa,Acessórios,884.14,1453.92,0.54,0.56,2020-01-16
Letícia Ribeiro,Acessórios,868.5,1286.08,0.26,0.5,2020-01-16
Enzo Nascimento,Casa,3939.01,4368.8,0.22,0.24,2020-01-16
Guilherme Santos,Casa,642.65,3841.92,0.39,0.25,2020-01-16
Vitória Ribeiro,Brinquedo,2650.22,2201.6,0.38,0.28,2020-01-16
Julia Araújo,Esportes,2014.19,5424.77,0.27,0.35,2020-01-16
Lucas Rodrigues,Esportes,3488.17,4693.2,0.49,0.31,2020-01-16
Thiago Carvalho,Esportes,3261.85,4722.55,0.51,0.29,2020-01-16
Mateus Barbosa,Eletrônicos,3421.89,2271.26,0.27,0.19,2020-01-16
Camila Carvalho,Casa,1550.95,3184.96,0.21,0.29,2020-01-16
Diego Cardoso,Vestuário,1787.11,3626.67,0.2,0.19,2020-01-16
Jorge Santos,Brinquedo,1749.73,2489.69,0.15,0.26,2020-01-16
Raphael Silva,Papelaria,582.4,323.33,0.25,0.36,2020-01-16
Caroline Reis,Papelaria,601.59,293.31,0.34,0.43,2020-01-16
Letícia Nascimento,Eletrônicos,653.21,2374.5,0.24,0.17,2020-01-17
Ana Sousa,Eletrônicos,3468.39,1754.68,0.21,0.22,2020-01-17
Gustavo Martins,Eletrônicos,2078.39,3217.94,0.25,0.24,2020-01-17
Beatriz Santos,Vestuário,310.52,1002.59,0.15,0.2,2020-01-17
Camila Lima,Vestuário,1239.75,2800.66,0.14,0.15,2020-01-17
Thiago Barbosa,Acessórios,388.93,1406.66,0.44,0.48,2020-01-17
Letícia Ribeiro,Acessórios,1109.49,591.04,0.74,0.56,2020-01-17
Enzo Nascimento,Casa,1601.8,4371.12,0.3,0.33,2020-01-17
Guilherme Santos,Casa,1768.82,2477.21,0.18,0.25,2020-01-17
Vitória Ribeiro,Brinquedo,1936.86,2421.39,0.13,0.26,2020-01-17
Julia Araújo,Esportes,1534.94,4176.01,0.43,0.27,2020-01-17
Lucas Rodrigues,Esportes,1649.09,5099.09,0.4,0.29,2020-01-17
Thiago Carvalho,Esportes,4095.51,2544.84,0.3,0.35,2020-01-17
Mateus Barbosa,Eletrônicos,1429.07,3779.12,0.21,0.2,2020-01-17
Camila Carvalho,Casa,1076.17,5766.81,0.3,0.24,2020-01-17
Diego Cardoso,Vestuário,2198.88,2166.64,0.08,0.2,2020-01-17
Jorge Santos,Brinquedo,713.22,3314.62,0.22,0.29,2020-01-17
Raphael Silva,Papelaria,554.93,677.45,0.52,0.45,2020-01-17
Caroline Reis,Papelaria,282.64,673.62,0.18,0.41,2020-01-17
Letícia Nascimento,Eletrônicos,3693.87,4737.36,0.1,0.23,2020-01-18
Ana Sousa,Eletrônicos,3904.55,2948.93,0.12,0.2,2020-01-18
Gustavo Martins,Eletrônicos,1181.51,5000.83,0.08,0.19,2020-01-18
Beatriz Santos,Vestuário,2181.85,2056.31,0.25,0.19,2020-01-18
Camila Lima,Vestuário,1976.85,1039.36,0.16,0.2,2020-01-18
Thiago Barbosa,Acessórios,236.95,493.47,0.62,0.58,2020-01-18
Letícia Ribeiro,Acessórios,702.4,680.0,0.74,0.56,2020-01-18
Enzo Nascimento,Casa,3468.07,2911.95,0.3,0.23,2020-01-18
Guilherme Santos,Casa,4239.99,4660.22,0.13,0.31,2020-01-18
Vitória Ribeiro,Brinquedo,2094.58,2665.22,0.2,0.22,2020-01-18
Julia Araújo,Esportes,1845.99,1481.41,0.43,0.29,2020-01-18
Lucas Rodrigues,Esportes,1310.77,1462.65,0.47,0.29,2020-01-18
Thiago Carvalho,Esportes,2078.04,1406.81,0.22,0.34,2020-01-18
Mateus Barbosa,Eletrônicos,3193.93,2537.85,0.14,0.21,2020-01-18
Camila Carvalho,Casa,1141.19,5303.73,0.32,0.31,2020-01-18
Diego Cardoso,Vestuário,1802.54,1554.56,0.17,0.18,2020-01-18
Jorge Santos,Brinquedo,1397.17,4191.21,0.25,0.23,2020-01-18
Raphael Silva,Papelaria,282.7,534.92,0.59,0.54,2020-01-18
Caroline Reis,Papelaria,418.97,328.49,0.54,0.43,2020-01-18
Letícia Nascimento,Eletrônicos,1207.98,3106.81,0.14,0.22,2020-01-19
Ana Sousa,Eletrônicos,390.18,1578.46,0.09,0.18,2020-01-19
Gustavo Martins,Eletrônicos,806.44,4550.78,0.3,0.17,2020-01-19
Beatriz Santos,Vestuário,300.74,3116.82,0.2,0.15,2020-01-19
Camila Lima,Vestuário,1565.03,1944.45,0.13,0.14,2020-01-19
Thiago Barbosa,Acessórios,94.74,596.51,0.32,0.4,2020-01-19
Letícia Ribeiro,Acessórios,1002.99,875.26,0.62,0.5,2020-01-19
Enzo Nascimento,Casa,1368.7,2533.62,0.35,0.25,2020-01-19
Guilherme Santos,Casa,2893.68,4664.81,0.35,0.26,2020-01-19
Vitória Ribeiro,Brinquedo,2654.47,3818.81,0.1,0.29,2020-01-19
Julia Araújo,Esportes,2019.51,5272.16,0.27,0.29,2020-01-19
Lucas Rodrigues,Esportes,1408.87,2406.73,0.52,0.27,2020-01-19
Thiago Carvalho,Esportes,3900.72,2280.36,0.16,0.36,2020-01-19
Mateus Barbosa,Eletrônicos,2933.67,4513.14,0.25,0.18,2020-01-19
Camila Carvalho,Casa,1754.84,5500.53,0.4,0.26,2020-01-19
Diego Cardoso,Vestuário,1985.32,964.96,0.19,0.19,2020-01-19
Jorge Santos,Brinquedo,1860.97,4132.46,0.21,0.26,2020-01-19
Raphael Silva,Papelaria,525.94,605.79,0.4,0.45,2020-01-19
Caroline Reis,Papelaria,51.4,638.78,0.41,0.41,2020-01-19
Letícia Nascimento,Eletrônicos,189.17,2959.66,0.2,0.18,2020-01-20
Ana Sousa,Eletrônicos,650.1,4445.62,0.21,0.21,2020-01-20
Gustavo Martins,Eletrônicos,821.93,2731.64,0.26,0.17,2020-01-20
Beatriz Santos,Vestuário,916.43,1145.95,0.17,0.2,2020-01-20
Camila Lima,Vestuário,1024.51,3302.44,0.13,0.18,2020-01-20
Thiago Barbosa,Acessórios,1159.16,1161.09,0.24,0.48,2020-01-20
Letícia Ribeiro,Acessórios,650.8,1238.8,0.62,0.5,2020-01-20
Enzo Nascimento,Casa,892.21,5024.89,0.3,0.23,2020-01-20
Guilherme Santos,Casa,976.21,3051.63,0.41,0.3,2020-01-20
Vitória Ribeiro,Brinquedo,1484.78,4034.77,0.24,0.26,2020-01-20
Julia Araújo,Esportes,266.78,3980.08,0.43,0.34,2020-01-20
Lucas Rodrigues,Esportes,992.07,3851.62,0.27,0.34,2020-01-20
Thiago Carvalho,Esportes,2998.63,1703.49,0.51,0.36,2020-01-20
Mateus Barbosa,Eletrônicos,969.31,3187.31,0.18,0.2,2020-01-20
Camila Carvalho,Casa,2624.62,5222.42,0.3,0.3,2020-01-20
Diego Cardoso,Vestuário,1816.17,1600.94,0.18,0.16,2020-01-20
Jorge Santos,Brinquedo,198.4,1223.1,0.24,0.28,2020-01-20
Raphael Silva,Papelaria,280.59,628.88,0.5,0.54,2020-01-20
Caroline Reis,Papelaria,452.34,317.36,0.63,0.41,2020-01-20
Letícia Nascimento,Eletrônicos,478.71,3488.17,0.1,0.21,2020-01-21
Ana Sousa,Eletrônicos,2719.0,1930.17,0.29,0.21,2020-01-21
Gustavo Martins,Eletrônicos,450.15,2108.85,0.28,0.24,2020-01-21
Beatriz Santos,Vestuário,1034.33,3065.76,0.13,0.18,2020-01-21
Camila Lima,Vestuário,109.39,1991.64,0.22,0.21,2020-01-21
Thiago Barbosa,Acessórios,1148.12,509.23,0.52,0.42,2020-01-21
Letícia Ribeiro,Acessórios,1190.99,1523.42,0.34,0.54,2020-01-21
Enzo Nascimento,Casa,1702.68,4915.0,0.12,0.25,2020-01-21
Guilherme Santos,Casa,3397.15,3828.81,0.2,0.31,2020-01-21
Vitória Ribeiro,Brinquedo,2354.0,1712.37,0.31,0.25,2020-01-21
Julia Araújo,Esportes,4199.82,2817.85,0.48,0.39,2020-01-21
Lucas Rodrigues,Esportes,3355.53,2726.86,0.38,0.36,2020-01-21
Thiago Carvalho,Esportes,2773.4,4104.09,0.26,0.31,2020-01-21
Mateus Barbosa,Eletrônicos,1255.45,2455.79,0.18,0.19,2020-01-21
Camila Carvalho,Casa,194.13,2195.83,0.34,0.23,2020-01-21
Diego Cardoso,Vestuário,2003.66,3427.01,0.09,0.15,2020-01-21
Jorge Santos,Brinquedo,1469.96,4136.52,0.25,0.23,2020-01-21
Raphael Silva,Papelaria,154.61,752.09,0.45,0.41,2020-01-21
Caroline Reis,Papelaria,463.49,837.3,0.49,0.5,2020-01-21
Letícia Nascimento,Eletrônicos,3208.44,3246.04,0.1,0.18,2020-01-22
Ana Sousa,Eletrônicos,1632.24,2143.7,0.23,0.18,2020-01-22
Gustavo Martins,Eletrônicos,2476.38,2803.47,0.1,0.22,2020-01-22
Beatriz Santos,Vestuário,2718.78,970.4,0.08,0.18,2020-01-22
Camila Lima,Vestuário,1185.1,1776.81,0.11,0.18,2020-01-22
Thiago Barbosa,Acessórios,436.79,1086.41,0.22,0.5,2020-01-22
Letícia Ribeiro,Acessórios,1165.45,544.51,0.78,0.5,2020-01-22
Enzo Nascimento,Casa,1468.2,4700.66,0.26,0.31,2020-01-22
Guilherme Santos,Casa,795.24,2533.43,0.12,0.32,2020-01-22
Vitória Ribeiro,Brinquedo,3242.96,3597.17,0.28,0.24,2020-01-22
Julia Araújo,Esportes,1918.18,3904.41,0.16,0.36,2020-01-22
Lucas Rodrigues,Esportes,2020.57,3489.9,0.26,0.34,2020-01-22
Thiago Carvalho,Esportes,1233.96,2493.17,0.17,0.33,2020-01-22
Mateus Barbosa,Eletrônicos,3032.96,1495.05,0.18,0.18,2020-01-22
Camila Carvalho,Casa,447.96,2420.09,0.22,0.23,2020-01-22
Diego Cardoso,Vestuário,1411.76,2650.7,0.08,0.2,2020-01-22
Jorge Santos,Brinquedo,2561.7,2672.69,0.4,0.29,2020-01-22
Raphael Silva,Papelaria,521.05,712.19,0.4,0.5,2020-01-22
Caroline Reis,Papelaria,208.98,731.85,0.49,0.43,2020-01-22
Letícia Nascimento,Eletrônicos,595.1,2318.26,0.1,0.16,2020-01-23
Ana Sousa,Eletrônicos,3473.52,1741.36,0.26,0.17,2020-01-23
Gustavo Martins,Eletrônicos,1512.94,3499.79,0.1,0.18,2020-01-23
Beatriz Santos,Vestuário,519.92,2993.53,0.21,0.15,2020-01-23
Camila Lima,Vestuário,880.3,2230.97,0.22,0.18,2020-01-23
Thiago Barbosa,Acessórios,1082.65,509.38,0.52,0.6,2020-01-23
Letícia Ribeiro,Acessórios,1187.73,564.64,0.8,0.5,2020-01-23
Enzo Nascimento,Casa,2418.23,5620.07,0.14,0.23,2020-01-23
Guilherme Santos,Casa,4184.01,2649.72,0.11,0.23,2020-01-23
Vitória Ribeiro,Brinquedo,1352.0,3556.95,0.21,0.21,2020-01-23
Julia Araújo,Esportes,1082.14,3966.31,0.33,0.27,2020-01-23
Lucas Rodrigues,Esportes,2954.91,2231.6,0.3,0.29,2020-01-23
Thiago Carvalho,Esportes,476.66,4079.6,0.38,0.39,2020-01-23
Mateus Barbosa,Eletrônicos,2280.49,2082.0,0.1,0.21,2020-01-23
Camila Carvalho,Casa,510.79,5481.89,0.37,0.33,2020-01-23
Diego Cardoso,Vestuário,2013.08,2631.06,0.19,0.14,2020-01-23
Jorge Santos,Brinquedo,1129.69,2539.59,0.37,0.29,2020-01-23
Raphael Silva,Papelaria,629.93,527.75,0.4,0.5,2020-01-23
Caroline Reis,Papelaria,404.37,523.83,0.4,0.45,2020-01-23
Letícia Nascimento,Eletrônicos,3049.49,1457.76,0.13,0.17,2020-01-24
Ana Sousa,Eletrônicos,430.46,3966.19,0.14,0.22,2020-01-24
Gustavo Martins,Eletrônicos,548.53,2766.76,0.13,0.17,2020-01-24
Beatriz Santos,Vestuário,1799.88,1569.47,0.17,0.17,2020-01-24
Camila Lima,Vestuário,1498.37,2578.38,0.13,0.18,2020-01-24
Thiago Barbosa,Acessórios,776.99,1590.41,0.68,0.48,2020-01-24
Letícia Ribeiro,Acessórios,1196.39,808.31,0.36,0.46,2020-01-24
Enzo Nascimento,Casa,631.72,2081.86,0.36,0.28,2020-01-24
Guilherme Santos,Casa,3400.58,4204.13,0.37,0.31,2020-01-24
Vitória Ribeiro,Brinquedo,2269.27,1969.66,0.33,0.28,2020-01-24
Julia Araújo,Esportes,3687.53,3986.96,0.36,0.38,2020-01-24
Lucas Rodrigues,Esportes,2029.0,1463.24,0.3,0.36,2020-01-24
Thiago Carvalho,Esportes,3148.43,5293.35,0.16,0.36,2020-01-24
Mateus Barbosa,Eletrônicos,1143.7,4913.22,0.1,0.18,2020-01-24
Camila Carvalho,Casa,311.46,4274.29,0.26,0.32,2020-01-24
Diego Cardoso,Vestuário,537.55,2067.09,0.09,0.17,2020-01-24
Jorge Santos,Brinquedo,825.22,2115.13,0.24,0.24,2020-01-24
Raphael Silva,Papelaria,240.21,391.59,0.65,0.4,2020-01-24
Caroline Reis,Papelaria,224.13,278.05,0.31,0.41,2020-01-24
Letícia Nascimento,Eletrônicos,2400.13,3631.9,0.31,0.24,2020-01-25
Ana Sousa,Eletrônicos,1565.63,3610.09,0.14,0.19,2020-01-25
Gustavo Martins,Eletrônicos,617.49,4036.79,0.23,0.19,2020-01-25
Beatriz Santos,Vestuário,528.81,2743.02,0.13,0.17,2020-01-25
Camila Lima,Vestuário,2582.41,1175.93,0.2,0.17,2020-01-25
Thiago Barbosa,Acessórios,152.48,483.38,0.72,0.54,2020-01-25
Letícia Ribeiro,Acessórios,823.37,1516.86,0.68,0.58,2020-01-25
Enzo Nascimento,Casa,3934.24,3706.81,0.39,0.26,2020-01-25
Guilherme Santos,Casa,4611.94,1614.12,0.24,0.31,2020-01-25
Vitória Ribeiro,Brinquedo,1465.39,1703.7,0.18,0.27,2020-01-25
Julia Araújo,Esportes,4037.62,4492.47,0.36,0.38,2020-01-25
Lucas Rodrigues,Esportes,2703.57,5168.33,0.31,0.36,2020-01-25
Thiago Carvalho,Esportes,473.89,4908.58,0.3,0.26,2020-01-25
Mateus Barbosa,Eletrônicos,1970.4,3754.47,0.09,0.22,2020-01-25
Camila Carvalho,Casa,494.96,5734.31,0.29,0.22,2020-01-25
Diego Cardoso,Vestuário,927.75,1140.91,0.25,0.2,2020-01-25
Jorge Santos,Brinquedo,3106.12,1097.91,0.25,0.22,2020-01-25
Raphael Silva,Papelaria,427.95,649.33,0.72,0.4,2020-01-25
Caroline Reis,Papelaria,154.41,423.48,0.65,0.47,2020-01-25
Letícia Nascimento,Eletrônicos,1185.23,1306.23,0.22,0.21,2020-01-26
Ana Sousa,Eletrônicos,787.51,2144.66,0.16,0.21,2020-01-26
Gustavo Martins,Eletrônicos,1369.32,3006.91,0.23,0.22,2020-01-26
Beatriz Santos,Vestuário,238.49,2954.62,0.25,0.2,2020-01-26
Camila Lima,Vestuário,2275.38,2398.42,0.27,0.17,2020-01-26
Thiago Barbosa,Acessórios,371.88,1147.2,0.38,0.44,2020-01-26
Letícia Ribeiro,Acessórios,729.32,1393.76,0.3,0.56,2020-01-26
Enzo Nascimento,Casa,299.26,3874.35,0.41,0.24,2020-01-26
Guilherme Santos,Casa,1006.98,5674.29,0.35,0.28,2020-01-26
Vitória Ribeiro,Brinquedo,195.46,2836.59,0.15,0.29,2020-01-26
Julia Araújo,Esportes,3785.08,2850.9,0.34,0.34,2020-01-26
Lucas Rodrigues,Esportes,1959.96,5202.38,0.33,0.34,2020-01-26
Thiago Carvalho,Esportes,1947.39,2751.84,0.35,0.38,2020-01-26
Mateus Barbosa,Eletrônicos,807.0,3790.67,0.19,0.19,2020-01-26
Camila Carvalho,Casa,3081.51,2552.11,0.39,0.3,2020-01-26
Diego Cardoso,Vestuário,862.66,1047.6,0.13,0.17,2020-01-26
Jorge Santos,Brinquedo,1692.18,2708.11,0.27,0.27,2020-01-26
Raphael Silva,Papelaria,603.83,402.21,0.18,0.49,2020-01-26
Caroline Reis,Papelaria,615.12,238.51,0.54,0.47,2020-01-26
Letícia Nascimento,Eletrônicos,1864.31,2553.02,0.09,0.17,2020-01-27
Ana Sousa,Eletrônicos,2593.08,1449.19,0.17,0.24,2020-01-27
Gustavo Martins,Eletrônicos,2391.88,1452.64,0.3,0.24,2020-01-27
Beatriz Santos,Vestuário,1582.37,947.8,0.11,0.17,2020-01-27
Camila Lima,Vestuário,2677.26,3408.82,0.08,0.14,2020-01-27
Thiago Barbosa,Acessórios,662.71,802.73,0.78,0.6,2020-01-27
Letícia Ribeiro,Acessórios,1258.42,614.13,0.44,0.44,2020-01-27
Enzo Nascimento,Casa,2916.2,4826.51,0.18,0.32,2020-01-27
Guilherme Santos,Casa,3113.01,3641.59,0.35,0.32,2020-01-27
Vitória Ribeiro,Brinquedo,2969.04,2215.38,0.26,0.24,2020-01-27
Julia Araújo,Esportes,2797.59,4984.95,0.2,0.33,2020-01-27
Lucas Rodrigues,Esportes,1980.37,1490.72,0.49,0.34,2020-01-27
Thiago Carvalho,Esportes,1257.48,2715.35,0.13,0.34,2020-01-27
Mateus Barbosa,Eletrônicos,1509.71,3444.75,0.18,0.2,2020-01-27
Camila Carvalho,Casa,2459.86,3512.05,0.14,0.24,2020-01-27
Diego Cardoso,Vestuário,1075.33,1025.96,0.21,0.19,2020-01-27
Jorge Santos,Brinquedo,3289.84,1893.8,0.16,0.24,2020-01-27
Raphael Silva,Papelaria,609.72,535.63,0.52,0.38,2020-01-27
Caroline Reis,Papelaria,474.33,317.87,0.68,0.47,2020-01-27
Letícia Nascimento,Eletrônicos,1753.62,4622.34,0.12,0.17,2020-01-28
Ana Sousa,Eletrônicos,733.61,3827.49,0.31,0.23,2020-01-28
Gustavo Martins,Eletrônicos,1809.73,3282.89,0.13,0.2,2020-01-28
Beatriz Santos,Vestuário,1686.63,965.84,0.26,0.17,2020-01-28
Camila Lima,Vestuário,1305.02,1054.61,0.21,0.15,2020-01-28
Thiago Barbosa,Acessórios,871.7,831.63,0.74,0.42,2020-01-28
Letícia Ribeiro,Acessórios,1193.84,1522.26,0.36,0.54,2020-01-28
Enzo Nascimento,Casa,1558.99,3214.71,0.21,0.29,2020-01-28
Guilherme Santos,Casa,3438.71,3027.08,0.11,0.26,2020-01-28
Vitória Ribeiro,Brinquedo,2865.81,2677.16,0.21,0.26,2020-01-28
Julia Araújo,Esportes,3901.89,2369.31,0.47,0.36,2020-01-28
Lucas Rodrigues,Esportes,2747.41,2050.71,0.26,0.38,2020-01-28
Thiago Carvalho,Esportes,3437.3,4525.32,0.36,0.36,2020-01-28
Mateus Barbosa,Eletrônicos,2850.55,3561.6,0.32,0.18,2020-01-28
Camila Carvalho,Casa,563.48,2057.87,0.32,0.32,2020-01-28
Diego Cardoso,Vestuário,406.02,3175.98,0.15,0.15,2020-01-28
Jorge Santos,Brinquedo,2505.94,1078.12,0.11,0.29,2020-01-28
Raphael Silva,Papelaria,287.16,468.52,0.38,0.5,2020-01-28
Caroline Reis,Papelaria,614.19,718.99,0.22,0.41,2020-01-28
Letícia Nascimento,Eletrônicos,1392.57,4812.75,0.15,0.21,2020-01-29
Ana Sousa,Eletrônicos,3299.31,3214.35,0.18,0.18,2020-01-29
Gustavo Martins,Eletrônicos,2047.62,4385.39,0.28,0.23,2020-01-29
Beatriz Santos,Vestuário,838.61,3459.79,0.22,0.15,2020-01-29
Camila Lima,Vestuário,2621.03,1885.09,0.07,0.16,2020-01-29
Thiago Barbosa,Acessórios,114.52,765.3,0.3,0.58,2020-01-29
Letícia Ribeiro,Acessórios,766.96,1516.9,0.4,0.46,2020-01-29
Enzo Nascimento,Casa,758.72,3680.0,0.33,0.29,2020-01-29
Guilherme Santos,Casa,3693.69,2337.36,0.22,0.31,2020-01-29
Vitória Ribeiro,Brinquedo,747.89,4120.89,0.29,0.26,2020-01-29
Julia Araújo,Esportes,1813.69,2534.2,0.13,0.3,2020-01-29
Lucas Rodrigues,Esportes,449.79,2669.12,0.52,0.36,2020-01-29
Thiago Carvalho,Esportes,1012.32,2716.54,0.16,0.34,2020-01-29
